freq,unit,sex,geo\TIME_PERIOD	2000 	2010 
A,TIME_SP,F,EE	2:45 	0:39 
A,TIME_SP,F,EL	: 	0:25 
A,TIME_SP,F,ES	1:58 	0:39 
A,TIME_SP,F,FI	0:44 	0:34 
A,TIME_SP,F,FR	0:30 	0:31 
A,TIME_SP,F,HU	: 	0:42 
A,TIME_SP,F,IT	2:09 	0:29 
A,TIME_SP,F,LT	1:53 	: 
A,TIME_SP,F,LU	: 	0:00 
A,TIME_SP,F,LV	1:36 	: 
A,TIME_SP,F,NL	: 	0:00 
A,TIME_SP,F,NO	2:27 	0:35 
A,TIME_SP,F,PL	2:24 	0:50 
A,TIME_SP,F,RO	: 	0:23 
A,TIME_SP,F,RS	: 	0:30 
A,TIME_SP,F,SI	2:01 	: 
A,TIME_SP,F,TR	: 	0:00 
A,TIME_SP,F,UK	3:03 	0:38 
A,TIME_SP,M,AT	: 	0:24 
A,TIME_SP,M,BE	0:50 	0:13 
A,TIME_SP,M,BG	0:41 	: 
A,TIME_SP,M,DE	1:02 	0:14 
A,TIME_SP,M,EE	1:15 	0:17 
A,TIME_SP,M,EL	: 	0:17 
A,TIME_SP,M,ES	1:02 	0:26 
A,TIME_SP,M,FI	0:15 	0:18 
A,TIME_SP,M,FR	0:10 	0:14 
A,TIME_SP,M,HU	: 	0:23 
A,TIME_SP,M,IT	1:06 	0:16 
A,TIME_SP,M,LT	0:53 	: 
A,TIME_SP,M,LU	: 	0:00 
A,TIME_SP,M,LV	0:40 	: 
A,TIME_SP,M,NL	: 	0:00 
A,TIME_SP,M,NO	1:21 	0:22 
A,TIME_SP,M,PL	1:11 	0:22 
A,TIME_SP,M,RO	: 	0:10 
A,TIME_SP,M,RS	: 	0:17 
A,TIME_SP,M,SI	1:03 	: 
A,TIME_SP,M,TR	: 	0:00 
A,TIME_SP,M,UK	1:24 	0:19 
A,TIME_SP,T,AT	: 	0:33 
A,TIME_SP,T,BE	1:12 	0:18 
A,TIME_SP,T,BG	1:08 	: 
A,TIME_SP,T,DE	1:33 	0:20 
A,TIME_SP,T,EE	2:04 	0:29 
A,TIME_SP,T,EL	: 	0:21 
A,TIME_SP,T,ES	1:30 	0:33 
A,TIME_SP,T,FI	0:30 	0:26 
A,TIME_SP,T,FR	0:20 	0:23 
A,TIME_SP,T,HU	: 	0:33 
A,TIME_SP,T,IT	1:38 	0:23 
A,TIME_SP,T,LT	1:26 	: 
A,TIME_SP,T,LU	: 	0:00 
A,TIME_SP,T,LV	1:10 	: 
A,TIME_SP,T,NL	: 	0:00 
A,TIME_SP,T,NO	1:54 	0:28 
A,TIME_SP,T,PL	1:49 	0:37 
A,TIME_SP,T,RO	: 	0:16 
A,TIME_SP,T,RS	: 	0:24 
A,TIME_SP,T,SI	1:33 	: 
A,TIME_SP,T,TR	: 	0:00 
A,TIME_SP,T,UK	2:15 	0:29 
