A,PTP_RT,F,H0000-0009,AC3_TR,NL	: 	2.3 
A,PTP_RT,F,H0000-0009,AC3_TR,NO	2.09 	3.4 
A,PTP_RT,F,H0000-0009,AC3_TR,PL	0.66 	0.9 
A,PTP_RT,F,H0000-0009,AC3_TR,RO	: 	0.3 
A,PTP_RT,F,H0000-0009,AC3_TR,RS	: 	2.1 
A,PTP_RT,F,H0000-0009,AC3_TR,SI	0.29 	: 
A,PTP_RT,F,H0000-0009,AC3_TR,TR	: 	3.4 
A,PTP_RT,F,H0000-0009,AC3_TR,UK	1.97 	2.0 
A,PTP_RT,F,H0000-0009,AC4-8A,BE	6.35 	4.7 
A,PTP_RT,F,H0000-0009,AC4-8A,BG	1.38 	: 
A,PTP_RT,F,H0000-0009,AC4-8A,DE	6.82 	5.4 
A,PTP_RT,F,H0000-0009,AC4-8A,EE	4.84 	4.9 
A,PTP_RT,F,H0000-0009,AC4-8A,EL	: 	10.4 
A,PTP_RT,F,H0000-0009,AC4-8A,ES	9.79 	8.4 
A,PTP_RT,F,H0000-0009,AC4-8A,FI	6.53 	7.4 
A,PTP_RT,F,H0000-0009,AC4-8A,FR	3.24 	5.0 
A,PTP_RT,F,H0000-0009,AC4-8A,HU	: 	1.6 
A,PTP_RT,F,H0000-0009,AC4-8A,IT	7.92 	5.0 
A,PTP_RT,F,H0000-0009,AC4-8A,LT	1.65 	: 
A,PTP_RT,F,H0000-0009,AC4-8A,LU	: 	4.9 
A,PTP_RT,F,H0000-0009,AC4-8A,LV	2.79 	: 
A,PTP_RT,F,H0000-0009,AC4-8A,NL	: 	7.1 
A,PTP_RT,F,H0000-0009,AC4-8A,NO	13.48 	11.8 
A,PTP_RT,F,H0000-0009,AC4-8A,PL	3.07 	2.2 
A,PTP_RT,F,H0000-0009,AC4-8A,RO	: 	0.8 
A,PTP_RT,F,H0000-0009,AC4-8A,RS	: 	4.9 
A,PTP_RT,F,H0000-0009,AC4-8A,SI	3.74 	: 
A,PTP_RT,F,H0000-0009,AC4-8A,TR	: 	4.9 
A,PTP_RT,F,H0000-0009,AC4-8A,UK	9.08 	4.3 
A,PTP_RT,F,H0000-0009,AC82,BE	5.54 	4.9 
A,PTP_RT,F,H0000-0009,AC82,BG	1.31 	: 
A,PTP_RT,F,H0000-0009,AC82,DE	3.37 	3.4 
A,PTP_RT,F,H0000-0009,AC82,EE	3.56 	2.7 
A,PTP_RT,F,H0000-0009,AC82,EL	: 	9.8 
A,PTP_RT,F,H0000-0009,AC82,ES	11.67 	14.5 
A,PTP_RT,F,H0000-0009,AC82,FI	3.42 	3.9 
A,PTP_RT,F,H0000-0009,AC82,FR	2.72 	3.9 
A,PTP_RT,F,H0000-0009,AC82,HU	: 	1.3 
A,PTP_RT,F,H0000-0009,AC82,IT	2.64 	2.7 
A,PTP_RT,F,H0000-0009,AC82,LT	1.20 	: 
A,PTP_RT,F,H0000-0009,AC82,LU	: 	5.0 
A,PTP_RT,F,H0000-0009,AC82,LV	1.83 	: 
A,PTP_RT,F,H0000-0009,AC82,NL	: 	4.8 
A,PTP_RT,F,H0000-0009,AC82,NO	5.18 	5.3 
A,PTP_RT,F,H0000-0009,AC82,PL	2.20 	0.9 
