freq,unit,sex,age,acl00,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,F,TOTAL,AC1A,HU	: 	27.5 
A,PTP_RT,F,TOTAL,AC1A,IT	27.2 	25.3 
A,PTP_RT,F,TOTAL,AC1A,LT	46.6 	: 
A,PTP_RT,F,TOTAL,AC1A,LU	: 	37.2 
A,PTP_RT,F,TOTAL,AC1A,LV	44.4 	: 
A,PTP_RT,F,TOTAL,AC1A,NL	: 	30.2 
A,PTP_RT,F,TOTAL,AC1A,NO	40.3 	36.2 
A,PTP_RT,F,TOTAL,AC1A,PL	34.0 	28.6 
A,PTP_RT,F,TOTAL,AC1A,RO	: 	33.6 
A,PTP_RT,F,TOTAL,AC1A,RS	: 	30.2 
A,PTP_RT,F,TOTAL,AC1A,SI	38.4 	: 
A,PTP_RT,F,TOTAL,AC1A,TR	: 	18.8 
A,PTP_RT,F,TOTAL,AC1A,UK	35.5 	31.1 
A,PTP_RT,F,TOTAL,AC1B,AT	: 	15.4 
A,PTP_RT,F,TOTAL,AC1B,BE	1.2 	9.0 
A,PTP_RT,F,TOTAL,AC1B,BG	5.6 	: 
A,PTP_RT,F,TOTAL,AC1B,DE	8.2 	6.2 
A,PTP_RT,F,TOTAL,AC1B,EE	8.6 	5.3 
A,PTP_RT,F,TOTAL,AC1B,EL	: 	1.0 
A,PTP_RT,F,TOTAL,AC1B,ES	2.7 	2.9 
A,PTP_RT,F,TOTAL,AC1B,FI	7.1 	7.8 
A,PTP_RT,F,TOTAL,AC1B,FR	1.5 	4.8 
A,PTP_RT,F,TOTAL,AC1B,HU	: 	0.5 
A,PTP_RT,F,TOTAL,AC1B,IT	2.6 	1.5 
A,PTP_RT,F,TOTAL,AC1B,LT	6.9 	: 
A,PTP_RT,F,TOTAL,AC1B,LU	: 	6.9 
A,PTP_RT,F,TOTAL,AC1B,LV	11.6 	: 
A,PTP_RT,F,TOTAL,AC1B,NL	: 	5.2 
A,PTP_RT,F,TOTAL,AC1B,NO	5.5 	3.3 
A,PTP_RT,F,TOTAL,AC1B,PL	3.1 	3.5 
A,PTP_RT,F,TOTAL,AC1B,RO	: 	4.8 
A,PTP_RT,F,TOTAL,AC1B,RS	: 	14.0 
A,PTP_RT,F,TOTAL,AC1B,SI	9.3 	: 
A,PTP_RT,F,TOTAL,AC1B,TR	: 	1.7 
A,PTP_RT,F,TOTAL,AC1B,UK	7.0 	13.4 
A,PTP_RT,F,TOTAL,AC1_TR,AT	: 	36.6 
A,PTP_RT,F,TOTAL,AC1_TR,BE	28.6 	25.9 
A,PTP_RT,F,TOTAL,AC1_TR,BG	32.4 	: 
A,PTP_RT,F,TOTAL,AC1_TR,DE	30.1 	31.1 
A,PTP_RT,F,TOTAL,AC1_TR,EE	40.9 	32.1 
A,PTP_RT,F,TOTAL,AC1_TR,EL	: 	22.8 
A,PTP_RT,F,TOTAL,AC1_TR,ES	30.6 	29.5 
A,PTP_RT,F,TOTAL,AC1_TR,FI	36.5 	30.2 
A,PTP_RT,F,TOTAL,AC1_TR,FR	34.3 	30.5 
A,PTP_RT,F,TOTAL,AC1_TR,HU	: 	28.0 
A,PTP_RT,F,TOTAL,AC1_TR,IT	28.0 	25.8 
A,PTP_RT,F,TOTAL,AC1_TR,LT	47.1 	: 
A,PTP_RT,F,TOTAL,AC1_TR,LU	: 	37.8 
A,PTP_RT,F,TOTAL,AC1_TR,LV	44.7 	: 
A,PTP_RT,F,TOTAL,AC1_TR,NL	: 	31.0 
A,PTP_RT,F,TOTAL,AC1_TR,NO	40.3 	36.2 
A,PTP_RT,F,TOTAL,AC1_TR,PL	34.7 	29.3 
A,PTP_RT,F,TOTAL,AC1_TR,RO	: 	33.8 
A,PTP_RT,F,TOTAL,AC1_TR,RS	: 	30.9 
A,PTP_RT,F,TOTAL,AC1_TR,SI	38.8 	: 
A,PTP_RT,F,TOTAL,AC1_TR,TR	: 	19.2 
A,PTP_RT,F,TOTAL,AC1_TR,UK	36.0 	32.3 
A,PTP_RT,F,TOTAL,AC2,AT	: 	8.3 
A,PTP_RT,F,TOTAL,AC2,BE	7.6 	11.4 
A,PTP_RT,F,TOTAL,AC2,BG	2.1 	: 
A,PTP_RT,F,TOTAL,AC2,DE	6.3 	7.2 
A,PTP_RT,F,TOTAL,AC2,EE	3.2 	6.9 
A,PTP_RT,F,TOTAL,AC2,EL	: 	7.4 
A,PTP_RT,F,TOTAL,AC2,ES	8.1 	9.6 
A,PTP_RT,F,TOTAL,AC2,FI	6.4 	9.6 
A,PTP_RT,F,TOTAL,AC2,FR	5.3 	8.9 
A,PTP_RT,F,TOTAL,AC2,HU	: 	8.7 
A,PTP_RT,F,TOTAL,AC2,IT	4.8 	7.7 
A,PTP_RT,F,TOTAL,AC2,LT	4.4 	: 
A,PTP_RT,F,TOTAL,AC2,LU	: 	9.5 
A,PTP_RT,F,TOTAL,AC2,LV	5.0 	: 
A,PTP_RT,F,TOTAL,AC2,NL	: 	9.1 
A,PTP_RT,F,TOTAL,AC2,NO	6.2 	10.3 
A,PTP_RT,F,TOTAL,AC2,PL	6.0 	7.5 
A,PTP_RT,F,TOTAL,AC2,RO	: 	6.0 
A,PTP_RT,F,TOTAL,AC2,RS	: 	7.6 
A,PTP_RT,F,TOTAL,AC2,SI	7.5 	: 
A,PTP_RT,F,TOTAL,AC2,TR	: 	9.9 
A,PTP_RT,F,TOTAL,AC2,UK	4.4 	7.7 
A,PTP_RT,F,TOTAL,AC212,AT	: 	5.4 
A,PTP_RT,F,TOTAL,AC212,BE	3.0 	7.5 
A,PTP_RT,F,TOTAL,AC212,BG	1.6 	: 
A,PTP_RT,F,TOTAL,AC212,DE	2.2 	3.5 
A,PTP_RT,F,TOTAL,AC212,EE	1.3 	4.6 
A,PTP_RT,F,TOTAL,AC212,EL	: 	6.3 
A,PTP_RT,F,TOTAL,AC212,ES	3.6 	4.4 
A,PTP_RT,F,TOTAL,AC212,FI	3.4 	5.4 
