freq,unit,sex,wstatus,acl00,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,F,EMP,AC1B,DE	: 	10.6 
A,PTP_RT,F,EMP,AC1B,EE	14.0 	9.7 
A,PTP_RT,F,EMP,AC1B,EL	: 	1.9 
A,PTP_RT,F,EMP,AC1B,ES	5.1 	5.1 
A,PTP_RT,F,EMP,AC1B,FI	11.0 	15.0 
A,PTP_RT,F,EMP,AC1B,FR	: 	9.3 
A,PTP_RT,F,EMP,AC1B,HU	: 	0.2 
A,PTP_RT,F,EMP,AC1B,IT	5.7 	3.1 
A,PTP_RT,F,EMP,AC1B,LT	10.7 	: 
A,PTP_RT,F,EMP,AC1B,LV	18.7 	: 
A,PTP_RT,F,EMP,AC1B,NL	: 	8.3 
A,PTP_RT,F,EMP,AC1B,NO	7.3 	5.6 
A,PTP_RT,F,EMP,AC1B,PL	5.3 	6.7 
A,PTP_RT,F,EMP,AC1B,RO	: 	11.4 
A,PTP_RT,F,EMP,AC1B,RS	: 	45.6 
A,PTP_RT,F,EMP,AC1B,SI	14.7 	: 
A,PTP_RT,F,EMP,AC1B,UK	10.9 	26.4 
A,PTP_RT,F,EMP,AC1_TR,AT	: 	68.9 
A,PTP_RT,F,EMP,AC1_TR,BE	51.0 	55.8 
A,PTP_RT,F,EMP,AC1_TR,BG	68.4 	: 
A,PTP_RT,F,EMP,AC1_TR,DE	: 	56.5 
A,PTP_RT,F,EMP,AC1_TR,EE	66.9 	63.5 
A,PTP_RT,F,EMP,AC1_TR,EL	: 	76.3 
A,PTP_RT,F,EMP,AC1_TR,ES	68.1 	74.2 
A,PTP_RT,F,EMP,AC1_TR,FI	58.9 	61.8 
A,PTP_RT,F,EMP,AC1_TR,FR	: 	64.5 
A,PTP_RT,F,EMP,AC1_TR,HU	: 	64.9 
A,PTP_RT,F,EMP,AC1_TR,IT	67.2 	74.2 
A,PTP_RT,F,EMP,AC1_TR,LT	76.5 	: 
A,PTP_RT,F,EMP,AC1_TR,LV	71.1 	: 
A,PTP_RT,F,EMP,AC1_TR,NL	: 	54.0 
A,PTP_RT,F,EMP,AC1_TR,NO	54.0 	59.2 
A,PTP_RT,F,EMP,AC1_TR,PL	70.0 	65.1 
A,PTP_RT,F,EMP,AC1_TR,RO	: 	75.8 
A,PTP_RT,F,EMP,AC1_TR,RS	: 	69.8 
A,PTP_RT,F,EMP,AC1_TR,SI	59.5 	: 
A,PTP_RT,F,EMP,AC1_TR,UK	59.1 	59.9 
A,PTP_RT,F,EMP,AC2,AT	: 	4.1 
A,PTP_RT,F,EMP,AC2,BE	5.5 	3.1 
A,PTP_RT,F,EMP,AC2,BG	1.2 	: 
A,PTP_RT,F,EMP,AC2,DE	: 	3.9 
A,PTP_RT,F,EMP,AC2,EE	3.0 	4.1 
A,PTP_RT,F,EMP,AC2,EL	: 	1.5 
A,PTP_RT,F,EMP,AC2,ES	7.1 	5.7 
A,PTP_RT,F,EMP,AC2,FI	5.1 	6.2 
A,PTP_RT,F,EMP,AC2,FR	: 	2.4 
A,PTP_RT,F,EMP,AC2,HU	: 	4.3 
A,PTP_RT,F,EMP,AC2,IT	1.9 	2.0 
A,PTP_RT,F,EMP,AC2,LT	3.2 	: 
A,PTP_RT,F,EMP,AC2,LV	4.8 	: 
A,PTP_RT,F,EMP,AC2,NL	: 	5.9 
A,PTP_RT,F,EMP,AC2,NO	5.6 	2.5 
A,PTP_RT,F,EMP,AC2,PL	4.7 	3.3 
A,PTP_RT,F,EMP,AC2,RO	: 	1.0 
A,PTP_RT,F,EMP,AC2,RS	: 	1.4 
A,PTP_RT,F,EMP,AC2,SI	5.2 	: 
A,PTP_RT,F,EMP,AC2,UK	3.9 	3.2 
A,PTP_RT,F,EMP,AC212,AT	: 	1.4 
A,PTP_RT,F,EMP,AC212,BE	0.8 	1.2 
A,PTP_RT,F,EMP,AC212,BG	0.9 	: 
A,PTP_RT,F,EMP,AC212,DE	: 	1.0 
A,PTP_RT,F,EMP,AC212,EE	1.1 	2.4 
A,PTP_RT,F,EMP,AC212,EL	: 	0.8 
A,PTP_RT,F,EMP,AC212,ES	2.2 	0.6 
A,PTP_RT,F,EMP,AC212,FI	2.4 	3.4 
A,PTP_RT,F,EMP,AC212,FR	: 	0.2 
A,PTP_RT,F,EMP,AC212,HU	: 	1.9 
A,PTP_RT,F,EMP,AC212,IT	1.2 	1.3 
A,PTP_RT,F,EMP,AC212,LT	1.7 	: 
A,PTP_RT,F,EMP,AC212,LV	1.9 	: 
A,PTP_RT,F,EMP,AC212,NL	: 	1.9 
A,PTP_RT,F,EMP,AC212,NO	3.0 	1.4 
A,PTP_RT,F,EMP,AC212,PL	2.8 	1.6 
A,PTP_RT,F,EMP,AC212,RO	: 	0.3 
A,PTP_RT,F,EMP,AC212,RS	: 	0.5 
A,PTP_RT,F,EMP,AC212,SI	3.7 	: 
A,PTP_RT,F,EMP,AC212,UK	1.7 	1.2 
A,PTP_RT,F,EMP,AC21A,AT	: 	1.3 
A,PTP_RT,F,EMP,AC21A,BE	3.3 	1.1 
A,PTP_RT,F,EMP,AC21A,BG	0.1 	: 
A,PTP_RT,F,EMP,AC21A,DE	: 	1.3 
A,PTP_RT,F,EMP,AC21A,EE	0.5 	1.0 
A,PTP_RT,F,EMP,AC21A,EL	: 	0.8 
A,PTP_RT,F,EMP,AC21A,ES	1.5 	1.3 
A,PTP_RT,F,EMP,AC21A,FI	1.9 	2.5 
A,PTP_RT,F,EMP,AC21A,FR	: 	0.4 
A,PTP_RT,F,EMP,AC21A,HU	: 	1.0 
A,PTP_RT,F,EMP,AC21A,IT	0.3 	0.3 
A,PTP_RT,F,EMP,AC21A,LT	0.8 	: 
A,PTP_RT,F,EMP,AC21A,LV	2.4 	: 
A,PTP_RT,F,EMP,AC21A,NL	: 	2.5 
A,PTP_RT,F,EMP,AC21A,NO	3.6 	0.8 
A,PTP_RT,F,EMP,AC21A,PL	1.1 	1.0 
A,PTP_RT,F,EMP,AC21A,RO	: 	0.4 
A,PTP_RT,F,EMP,AC21A,RS	: 	0.3 
A,PTP_RT,F,EMP,AC21A,SI	1.5 	: 
A,PTP_RT,F,EMP,AC21A,UK	1.0 	0.8 
A,PTP_RT,F,EMP,AC22,AT	: 	2.0 
A,PTP_RT,F,EMP,AC22,BE	2.2 	1.2 
A,PTP_RT,F,EMP,AC22,BG	0.2 	: 
A,PTP_RT,F,EMP,AC22,DE	: 	2.0 
A,PTP_RT,F,EMP,AC22,EE	1.8 	1.1 
A,PTP_RT,F,EMP,AC22,EL	: 	0.1 
A,PTP_RT,F,EMP,AC22,ES	4.4 	4.3 
A,PTP_RT,F,EMP,AC22,FI	1.7 	1.7 
A,PTP_RT,F,EMP,AC22,FR	: 	1.9 
A,PTP_RT,F,EMP,AC22,HU	: 	1.6 
A,PTP_RT,F,EMP,AC22,IT	0.6 	0.6 
A,PTP_RT,F,EMP,AC22,LT	1.2 	: 
A,PTP_RT,F,EMP,AC22,LV	1.3 	: 
A,PTP_RT,F,EMP,AC22,NL	: 	2.3 
A,PTP_RT,F,EMP,AC22,NO	: 	0.6 
A,PTP_RT,F,EMP,AC22,PL	1.3 	1.0 
A,PTP_RT,F,EMP,AC22,RO	: 	0.4 
A,PTP_RT,F,EMP,AC22,RS	: 	0.7 
A,PTP_RT,F,EMP,AC22,SI	0.6 	: 
A,PTP_RT,F,EMP,AC22,UK	1.7 	1.2 
