freq,unit,acl00,sex,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,AC_PNP_MAIN,M,FI	95.8 	97.5 
A,PTP_RT,AC_PNP_MAIN,M,FR	95.3 	94.2 
A,PTP_RT,AC_PNP_MAIN,M,HU	: 	94.6 
A,PTP_RT,AC_PNP_MAIN,M,IT	87.7 	91.4 
A,PTP_RT,AC_PNP_MAIN,M,LT	95.6 	: 
A,PTP_RT,AC_PNP_MAIN,M,LU	: 	92.9 
A,PTP_RT,AC_PNP_MAIN,M,LV	92.5 	: 
A,PTP_RT,AC_PNP_MAIN,M,NL	: 	95.7 
A,PTP_RT,AC_PNP_MAIN,M,NO	98.5 	98.0 
A,PTP_RT,AC_PNP_MAIN,M,PL	95.4 	96.0 
A,PTP_RT,AC_PNP_MAIN,M,RO	: 	94.1 
A,PTP_RT,AC_PNP_MAIN,M,RS	: 	94.4 
A,PTP_RT,AC_PNP_MAIN,M,SI	93.3 	: 
A,PTP_RT,AC_PNP_MAIN,M,TR	: 	87.3 
A,PTP_RT,AC_PNP_MAIN,M,UK	96.7 	96.2 
A,PTP_RT,AC_PNP_MAIN,T,AT	: 	97.3 
A,PTP_RT,AC_PNP_MAIN,T,BE	96.6 	95.6 
A,PTP_RT,AC_PNP_MAIN,T,BG	96.4 	: 
A,PTP_RT,AC_PNP_MAIN,T,DE	97.7 	96.9 
A,PTP_RT,AC_PNP_MAIN,T,EE	97.6 	96.7 
A,PTP_RT,AC_PNP_MAIN,T,EL	: 	93.3 
A,PTP_RT,AC_PNP_MAIN,T,ES	94.4 	94.5 
A,PTP_RT,AC_PNP_MAIN,T,FI	97.6 	98.3 
A,PTP_RT,AC_PNP_MAIN,T,FR	97.2 	95.8 
A,PTP_RT,AC_PNP_MAIN,T,HU	: 	96.8 
A,PTP_RT,AC_PNP_MAIN,T,IT	92.8 	94.6 
A,PTP_RT,AC_PNP_MAIN,T,LT	97.6 	: 
A,PTP_RT,AC_PNP_MAIN,T,LU	: 	95.3 
A,PTP_RT,AC_PNP_MAIN,T,LV	95.9 	: 
A,PTP_RT,AC_PNP_MAIN,T,NL	: 	96.8 
A,PTP_RT,AC_PNP_MAIN,T,NO	98.9 	98.7 
A,PTP_RT,AC_PNP_MAIN,T,PL	97.5 	97.6 
A,PTP_RT,AC_PNP_MAIN,T,RO	: 	96.2 
A,PTP_RT,AC_PNP_MAIN,T,RS	: 	96.2 
A,PTP_RT,AC_PNP_MAIN,T,SI	96 	: 
A,PTP_RT,AC_PNP_MAIN,T,TR	: 	92.5 
A,PTP_RT,AC_PNP_MAIN,T,UK	97.8 	97.4 
A,PTP_TIME,AC_NP_SEC,F,AT	: 	0:55 
A,PTP_TIME,AC_NP_SEC,F,BE	0:50 	1:09 
A,PTP_TIME,AC_NP_SEC,F,BG	1:40 	: 
A,PTP_TIME,AC_NP_SEC,F,DE	1:17 	1:23 
A,PTP_TIME,AC_NP_SEC,F,EE	1:22 	1:17 
