freq,unit,sex,acl00,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,T,AC_NP_MAIN,FI	94.2 	95.1 
A,PTP_RT,T,AC_NP_MAIN,FR	89.5 	88.4 
A,PTP_RT,T,AC_NP_MAIN,HU	: 	91.7 
A,PTP_RT,T,AC_NP_MAIN,IT	83.3 	82.9 
A,PTP_RT,T,AC_NP_MAIN,LT	90.7 	: 
A,PTP_RT,T,AC_NP_MAIN,LU	: 	87.1 
A,PTP_RT,T,AC_NP_MAIN,LV	86.6 	: 
A,PTP_RT,T,AC_NP_MAIN,NL	: 	92.3 
A,PTP_RT,T,AC_NP_MAIN,NO	95.5 	95.2 
A,PTP_RT,T,AC_NP_MAIN,PL	93.1 	92.0 
A,PTP_RT,T,AC_NP_MAIN,RO	: 	87.9 
A,PTP_RT,T,AC_NP_MAIN,RS	: 	87.7 
A,PTP_RT,T,AC_NP_MAIN,SI	90.4 	: 
A,PTP_RT,T,AC_NP_MAIN,TR	: 	74.7 
A,PTP_RT,T,AC_NP_MAIN,UK	92.2 	92.4 
A,PTP_RT,T,AC_NP_SEC,AT	: 	48.2 
A,PTP_RT,T,AC_NP_SEC,BE	27 	31.8 
A,PTP_RT,T,AC_NP_SEC,BG	16 	: 
A,PTP_RT,T,AC_NP_SEC,DE	36.7 	41.6 
A,PTP_RT,T,AC_NP_SEC,EE	31.7 	36.3 
A,PTP_RT,T,AC_NP_SEC,EL	: 	32.4 
A,PTP_RT,T,AC_NP_SEC,ES	: 	23.0 
A,PTP_RT,T,AC_NP_SEC,FI	30.6 	47.1 
A,PTP_RT,T,AC_NP_SEC,FR	7.8 	16.1 
A,PTP_RT,T,AC_NP_SEC,HU	: 	24.4 
A,PTP_RT,T,AC_NP_SEC,IT	18.6 	28.4 
A,PTP_RT,T,AC_NP_SEC,LT	14.9 	: 
A,PTP_RT,T,AC_NP_SEC,LU	: 	24.5 
A,PTP_RT,T,AC_NP_SEC,LV	16.8 	: 
A,PTP_RT,T,AC_NP_SEC,NL	: 	47.2 
A,PTP_RT,T,AC_NP_SEC,NO	25.8 	27.9 
A,PTP_RT,T,AC_NP_SEC,PL	16.8 	22.4 
A,PTP_RT,T,AC_NP_SEC,RO	: 	14.6 
A,PTP_RT,T,AC_NP_SEC,RS	: 	38.6 
A,PTP_RT,T,AC_NP_SEC,SI	16.1 	: 
A,PTP_RT,T,AC_NP_SEC,TR	: 	100 
A,PTP_RT,T,AC_NP_SEC,UK	40.2 	55.2 
A,PTP_TIME,F,AC_NP_MAIN,AT	: 	4:39 
A,PTP_TIME,F,AC_NP_MAIN,BE	4:15 	4:08 
A,PTP_TIME,F,AC_NP_MAIN,BG	5:17 	: 
A,PTP_TIME,F,AC_NP_MAIN,DE	4:31 	4:00 
A,PTP_TIME,F,AC_NP_MAIN,EE	5:04 	4:14 
A,PTP_TIME,F,AC_NP_MAIN,EL	: 	4:43 
A,PTP_TIME,F,AC_NP_MAIN,ES	5:18 	4:57 
A,PTP_TIME,F,AC_NP_MAIN,FI	4:05 	3:55 
A,PTP_TIME,F,AC_NP_MAIN,FR	4:48 	4:13 
A,PTP_TIME,F,AC_NP_MAIN,HU	: 	4:57 
A,PTP_TIME,F,AC_NP_MAIN,IT	5:46 	5:30 
A,PTP_TIME,F,AC_NP_MAIN,LT	4:43 	: 
A,PTP_TIME,F,AC_NP_MAIN,LU	: 	4:00 
A,PTP_TIME,F,AC_NP_MAIN,LV	4:12 	: 
