count_star(),age
30312,TOTAL
21510,Y15-20
26532,Y20-24
21510,Y20-74
26532,Y25-44
30312,Y45-64
20376,Y65-74
25290,Y_GE65
1425324,
3240,Y10-14
3780,Y15-24
3780,Y15-29
3780,Y15-64
3780,Y25-34
3780,Y30-44
3780,Y30-64
3780,Y35-44
3780,Y45-54
3780,Y55-64
3780,Y_GE60
3780,Y_GE75
