freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,M,Y15-29,TIME_SP,RS	1:08 u
A,M,Y30-44,PTP_RT,AT	60.08 
A,M,Y30-44,PTP_RT,BG	50.95 
A,M,Y30-44,PTP_RT,DE	71.07 
A,M,Y30-44,PTP_RT,EE	57.33 
A,M,Y30-44,PTP_RT,FI	67.51 
A,M,Y30-44,PTP_RT,NO	66.09 
A,M,Y30-44,PTP_RT,RS	56.24 
A,M,Y30-44,PTP_TIME,AT	1:58 
A,M,Y30-44,PTP_TIME,BG	1:34 
A,M,Y30-44,PTP_TIME,DE	2:11 
A,M,Y30-44,PTP_TIME,EE	1:47 
A,M,Y30-44,PTP_TIME,FI	2:16 
A,M,Y30-44,PTP_TIME,NO	2:17 
A,M,Y30-44,PTP_TIME,RS	1:47 
A,M,Y30-44,TIME_SP,AT	1:11 
A,M,Y30-44,TIME_SP,BG	0:48 
A,M,Y30-44,TIME_SP,DE	1:33 
A,M,Y30-44,TIME_SP,EE	1:01 
A,M,Y30-44,TIME_SP,FI	1:32 
A,M,Y30-44,TIME_SP,NO	1:30 
A,M,Y30-44,TIME_SP,RS	1:00 
A,M,Y45-64,PTP_RT,AT	21.50 
A,M,Y45-64,PTP_RT,BG	18.23 
A,M,Y45-64,PTP_RT,DE	22.24 
A,M,Y45-64,PTP_RT,EE	28.90 
A,M,Y45-64,PTP_RT,FI	23.86 
A,M,Y45-64,PTP_RT,NO	28.75 
A,M,Y45-64,PTP_RT,RS	11.63 
A,M,Y45-64,PTP_TIME,AT	1:33 
A,M,Y45-64,PTP_TIME,BG	1:02 
A,M,Y45-64,PTP_TIME,DE	1:38 
A,M,Y45-64,PTP_TIME,EE	1:02 
A,M,Y45-64,PTP_TIME,FI	1:33 
A,M,Y45-64,PTP_TIME,NO	2:08 
A,M,Y45-64,PTP_TIME,RS	1:15 u
A,M,Y45-64,TIME_SP,AT	0:20 
A,M,Y45-64,TIME_SP,BG	0:11 
A,M,Y45-64,TIME_SP,DE	0:22 
A,M,Y45-64,TIME_SP,EE	0:18 
A,M,Y45-64,TIME_SP,FI	0:22 
A,M,Y45-64,TIME_SP,NO	0:37 
A,M,Y45-64,TIME_SP,RS	0:09 
A,T,TOTAL,PTP_RT,AT	33.77 
A,T,TOTAL,PTP_RT,BG	32.66 
A,T,TOTAL,PTP_RT,DE	39.77 
A,T,TOTAL,PTP_RT,EE	44.69 
A,T,TOTAL,PTP_RT,FI	39.09 
A,T,TOTAL,PTP_RT,NO	38.62 
A,T,TOTAL,PTP_RT,RS	45.11 
A,T,TOTAL,PTP_TIME,AT	2:28 
A,T,TOTAL,PTP_TIME,BG	1:57 
A,T,TOTAL,PTP_TIME,DE	2:32 
A,T,TOTAL,PTP_TIME,EE	1:57 
A,T,TOTAL,PTP_TIME,FI	2:13 
A,T,TOTAL,PTP_TIME,NO	2:19 
A,T,TOTAL,PTP_TIME,RS	2:16 
A,T,TOTAL,TIME_SP,AT	0:50 
A,T,TOTAL,TIME_SP,BG	0:38 
A,T,TOTAL,TIME_SP,DE	1:00 
A,T,TOTAL,TIME_SP,EE	0:52 
A,T,TOTAL,TIME_SP,FI	0:52 
A,T,TOTAL,TIME_SP,NO	0:54 
A,T,TOTAL,TIME_SP,RS	1:01 
A,T,Y15-29,PTP_RT,AT	9.10 
