freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,F,Y30-44,PTP_RT,DE	88.65 
A,F,Y30-44,PTP_RT,EE	91.44 
A,F,Y30-44,PTP_RT,FI	92.93 
A,F,Y30-44,PTP_RT,NO	83.86 
A,F,Y30-44,PTP_RT,RS	93.69 
A,F,Y30-44,PTP_TIME,AT	2:48 
A,F,Y30-44,PTP_TIME,BG	2:47 
A,F,Y30-44,PTP_TIME,DE	3:06 
A,F,Y30-44,PTP_TIME,EE	2:42 
A,F,Y30-44,PTP_TIME,FI	3:22 
A,F,Y30-44,PTP_TIME,NO	3:26 
A,F,Y30-44,PTP_TIME,RS	2:48 
A,F,Y30-44,TIME_SP,AT	2:25 
A,F,Y30-44,TIME_SP,BG	2:40 
A,F,Y30-44,TIME_SP,DE	2:45 
A,F,Y30-44,TIME_SP,EE	2:29 
A,F,Y30-44,TIME_SP,FI	3:08 
A,F,Y30-44,TIME_SP,NO	2:53 
A,F,Y30-44,TIME_SP,RS	2:38 
A,F,Y30-64,PTP_RT,AT	88.87 
A,F,Y30-64,PTP_RT,BG	96.03 
A,F,Y30-64,PTP_RT,DE	90.19 
A,F,Y30-64,PTP_RT,EE	92.68 
A,F,Y30-64,PTP_RT,FI	94.61 
A,F,Y30-64,PTP_RT,NO	85.48 
A,F,Y30-64,PTP_RT,RS	95.06 
A,F,Y30-64,PTP_TIME,AT	3:00 
A,F,Y30-64,PTP_TIME,BG	3:01 
A,F,Y30-64,PTP_TIME,DE	3:20 
A,F,Y30-64,PTP_TIME,EE	2:55 
A,F,Y30-64,PTP_TIME,FI	3:24 
A,F,Y30-64,PTP_TIME,NO	3:35 
A,F,Y30-64,PTP_TIME,RS	3:07 
A,F,Y30-64,TIME_SP,AT	2:40 
A,F,Y30-64,TIME_SP,BG	2:54 
A,F,Y30-64,TIME_SP,DE	3:00 
A,F,Y30-64,TIME_SP,EE	2:42 
A,F,Y30-64,TIME_SP,FI	3:13 
A,F,Y30-64,TIME_SP,NO	3:04 
A,F,Y30-64,TIME_SP,RS	2:58 
A,F,Y35-44,PTP_RT,AT	86.54 
A,F,Y35-44,PTP_RT,BG	96.25 
A,F,Y35-44,PTP_RT,DE	89.01 
A,F,Y35-44,PTP_RT,EE	93.43 
A,F,Y35-44,PTP_RT,FI	92.82 
A,F,Y35-44,PTP_RT,NO	84.60 
A,F,Y35-44,PTP_RT,RS	93.54 
A,F,Y35-44,PTP_TIME,AT	2:43 
A,F,Y35-44,PTP_TIME,BG	2:52 
A,F,Y35-44,PTP_TIME,DE	3:03 
A,F,Y35-44,PTP_TIME,EE	2:42 
A,F,Y35-44,PTP_TIME,FI	3:19 
A,F,Y35-44,PTP_TIME,NO	3:21 
A,F,Y35-44,PTP_TIME,RS	2:51 
A,F,Y35-44,TIME_SP,AT	2:21 
A,F,Y35-44,TIME_SP,BG	2:45 
A,F,Y35-44,TIME_SP,DE	2:43 
A,F,Y35-44,TIME_SP,EE	2:31 
A,F,Y35-44,TIME_SP,FI	3:04 
A,F,Y35-44,TIME_SP,NO	2:50 
A,F,Y35-44,TIME_SP,RS	2:40 
A,F,Y45-54,PTP_RT,AT	90.92 
A,F,Y45-54,PTP_RT,BG	95.52 
A,F,Y45-54,PTP_RT,DE	89.68 
A,F,Y45-54,PTP_RT,EE	92.86 
A,F,Y45-54,PTP_RT,FI	94.65 
A,F,Y45-54,PTP_RT,NO	86.26 
A,F,Y45-54,PTP_RT,RS	96.52 
A,F,Y45-54,PTP_TIME,AT	2:58 
A,F,Y45-54,PTP_TIME,BG	2:58 
A,F,Y45-54,PTP_TIME,DE	3:13 
A,F,Y45-54,PTP_TIME,EE	3:01 
A,F,Y45-54,PTP_TIME,FI	3:12 
A,F,Y45-54,PTP_TIME,NO	3:42 
A,F,Y45-54,PTP_TIME,RS	3:14 
A,F,Y45-54,TIME_SP,AT	2:42 
A,F,Y45-54,TIME_SP,BG	2:50 
A,F,Y45-54,TIME_SP,DE	2:53 
A,F,Y45-54,TIME_SP,EE	2:48 
A,F,Y45-54,TIME_SP,FI	3:02 
A,F,Y45-54,TIME_SP,NO	3:12 
A,F,Y45-54,TIME_SP,RS	3:07 
A,F,Y45-64,PTP_RT,AT	90.46 
A,F,Y45-64,PTP_RT,BG	96.25 
A,F,Y45-64,PTP_RT,DE	91.21 
A,F,Y45-64,PTP_RT,EE	93.61 
A,F,Y45-64,PTP_RT,FI	95.82 
A,F,Y45-64,PTP_RT,NO	86.80 
A,F,Y45-64,PTP_RT,RS	96.07 
A,F,Y45-64,PTP_TIME,AT	3:09 
A,F,Y45-64,PTP_TIME,BG	3:10 
A,F,Y45-64,PTP_TIME,DE	3:29 
A,F,Y45-64,PTP_TIME,EE	3:05 
A,F,Y45-64,PTP_TIME,FI	3:25 
A,F,Y45-64,PTP_TIME,NO	3:42 
A,F,Y45-64,PTP_TIME,RS	3:21 
A,F,Y45-64,TIME_SP,AT	2:51 
A,F,Y45-64,TIME_SP,BG	3:03 
A,F,Y45-64,TIME_SP,DE	3:11 
A,F,Y45-64,TIME_SP,EE	2:53 
A,F,Y45-64,TIME_SP,FI	3:16 
A,F,Y45-64,TIME_SP,NO	3:12 
A,F,Y45-64,TIME_SP,RS	3:13 
A,F,Y55-64,PTP_RT,AT	90.00 
A,F,Y55-64,PTP_RT,BG	97.02 
A,F,Y55-64,PTP_RT,DE	92.50 
A,F,Y55-64,PTP_RT,EE	94.33 
A,F,Y55-64,PTP_RT,FI	96.94 
A,F,Y55-64,PTP_RT,NO	87.51 
A,F,Y55-64,PTP_RT,RS	95.64 
A,F,Y55-64,PTP_TIME,AT	3:20 
A,F,Y55-64,PTP_TIME,BG	3:23 
A,F,Y55-64,PTP_TIME,DE	3:42 
A,F,Y55-64,PTP_TIME,EE	3:09 
A,F,Y55-64,PTP_TIME,FI	3:36 
A,F,Y55-64,PTP_TIME,NO	3:41 
A,F,Y55-64,PTP_TIME,RS	3:28 
A,F,Y55-64,TIME_SP,AT	3:00 
A,F,Y55-64,TIME_SP,BG	3:17 
A,F,Y55-64,TIME_SP,DE	3:26 
A,F,Y55-64,TIME_SP,EE	2:58 
A,F,Y55-64,TIME_SP,FI	3:30 
A,F,Y55-64,TIME_SP,NO	3:13 
A,F,Y55-64,TIME_SP,RS	3:19 
A,F,Y65-74,PTP_RT,AT	95.50 
A,F,Y65-74,PTP_RT,BG	99.44 
A,F,Y65-74,PTP_RT,DE	95.24 
A,F,Y65-74,PTP_RT,EE	95.93 
A,F,Y65-74,PTP_RT,FI	98.45 
A,F,Y65-74,PTP_RT,NO	92.73 
A,F,Y65-74,PTP_RT,RS	97.99 
A,F,Y65-74,PTP_TIME,AT	3:43 
A,F,Y65-74,PTP_TIME,BG	4:22 
A,F,Y65-74,PTP_TIME,DE	4:12 
A,F,Y65-74,PTP_TIME,EE	3:46 
A,F,Y65-74,PTP_TIME,FI	4:26 
A,F,Y65-74,PTP_TIME,NO	4:05 
A,F,Y65-74,PTP_TIME,RS	4:21 
A,F,Y65-74,TIME_SP,AT	3:33 
A,F,Y65-74,TIME_SP,BG	4:21 
A,F,Y65-74,TIME_SP,DE	4:00 
A,F,Y65-74,TIME_SP,EE	3:37 
A,F,Y65-74,TIME_SP,FI	4:21 
A,F,Y65-74,TIME_SP,NO	3:47 
A,F,Y65-74,TIME_SP,RS	4:15 
A,F,Y_GE60,PTP_RT,AT	94.14 
A,F,Y_GE60,PTP_RT,BG	98.49 
A,F,Y_GE60,PTP_RT,DE	94.79 
A,F,Y_GE60,PTP_RT,EE	96.43 
A,F,Y_GE60,PTP_RT,FI	98.23 
A,F,Y_GE60,PTP_RT,NO	92.51 
A,F,Y_GE60,PTP_RT,RS	97.84 
A,F,Y_GE60,PTP_TIME,AT	3:43 
A,F,Y_GE60,PTP_TIME,BG	4:24 
A,F,Y_GE60,PTP_TIME,DE	4:07 
A,F,Y_GE60,PTP_TIME,EE	3:47 
A,F,Y_GE60,PTP_TIME,FI	4:09 
A,F,Y_GE60,PTP_TIME,NO	4:04 
