freq,sex,age,acl18,unit,geo\TIME_PERIOD	2020 
A,F,TOTAL,AC511,TIME_SP,NO	0:01 
A,F,TOTAL,AC511,TIME_SP,RS	0:48 
A,F,TOTAL,AC512_513_519,PTP_RT,AT	23.93 
A,F,TOTAL,AC512_513_519,PTP_RT,BG	37.80 
A,F,TOTAL,AC512_513_519,PTP_RT,DE	33.50 
A,F,TOTAL,AC512_513_519,PTP_RT,EE	22.59 
A,F,TOTAL,AC512_513_519,PTP_RT,FI	14.92 
A,F,TOTAL,AC512_513_519,PTP_RT,NO	24.38 
A,F,TOTAL,AC512_513_519,PTP_RT,RS	32.84 
A,F,TOTAL,AC512_513_519,PTP_TIME,AT	1:59 
A,F,TOTAL,AC512_513_519,PTP_TIME,BG	1:32 
A,F,TOTAL,AC512_513_519,PTP_TIME,DE	2:11 
A,F,TOTAL,AC512_513_519,PTP_TIME,EE	1:49 
A,F,TOTAL,AC512_513_519,PTP_TIME,FI	1:36 
A,F,TOTAL,AC512_513_519,PTP_TIME,NO	1:58 
A,F,TOTAL,AC512_513_519,PTP_TIME,RS	1:31 
A,F,TOTAL,AC512_513_519,TIME_SP,AT	0:29 
A,F,TOTAL,AC512_513_519,TIME_SP,BG	0:35 
A,F,TOTAL,AC512_513_519,TIME_SP,DE	0:44 
A,F,TOTAL,AC512_513_519,TIME_SP,EE	0:25 
A,F,TOTAL,AC512_513_519,TIME_SP,FI	0:14 
A,F,TOTAL,AC512_513_519,TIME_SP,NO	0:29 
A,F,TOTAL,AC512_513_519,TIME_SP,RS	0:30 
A,F,TOTAL,AC514-516,PTP_RT,AT	27.36 
A,F,TOTAL,AC514-516,PTP_RT,BG	15.23 
A,F,TOTAL,AC514-516,PTP_RT,DE	24.19 
A,F,TOTAL,AC514-516,PTP_RT,EE	20.01 
A,F,TOTAL,AC514-516,PTP_RT,FI	23.74 
A,F,TOTAL,AC514-516,PTP_RT,NO	38.69 
A,F,TOTAL,AC514-516,PTP_RT,RS	23.94 
A,F,TOTAL,AC514-516,PTP_TIME,AT	1:21 
A,F,TOTAL,AC514-516,PTP_TIME,BG	0:43 
A,F,TOTAL,AC514-516,PTP_TIME,DE	1:15 
A,F,TOTAL,AC514-516,PTP_TIME,EE	0:48 
A,F,TOTAL,AC514-516,PTP_TIME,FI	1:05 
A,F,TOTAL,AC514-516,PTP_TIME,NO	1:57 
A,F,TOTAL,AC514-516,PTP_TIME,RS	0:48 
A,F,TOTAL,AC514-516,TIME_SP,AT	0:22 
A,F,TOTAL,AC514-516,TIME_SP,BG	0:06 
A,F,TOTAL,AC514-516,TIME_SP,DE	0:18 
A,F,TOTAL,AC514-516,TIME_SP,EE	0:10 
A,F,TOTAL,AC514-516,TIME_SP,FI	0:15 
A,F,TOTAL,AC514-516,TIME_SP,NO	0:45 
A,F,TOTAL,AC514-516,TIME_SP,RS	0:12 
A,F,TOTAL,AC531,PTP_RT,AT	6.96 
A,F,TOTAL,AC531,PTP_RT,BG	0.72 
A,F,TOTAL,AC531,PTP_RT,DE	0.24 
A,F,TOTAL,AC531,PTP_RT,EE	7.74 
A,F,TOTAL,AC531,PTP_RT,FI	20.37 
A,F,TOTAL,AC531,PTP_RT,NO	4.96 
A,F,TOTAL,AC531,PTP_RT,RS	4.17 
A,F,TOTAL,AC531,PTP_TIME,AT	1:10 
A,F,TOTAL,AC531,PTP_TIME,BG	0:44 u
A,F,TOTAL,AC531,PTP_TIME,DE	1:04 
A,F,TOTAL,AC531,PTP_TIME,EE	1:11 
A,F,TOTAL,AC531,PTP_TIME,FI	1:08 
A,F,TOTAL,AC531,PTP_TIME,NO	1:14 
A,F,TOTAL,AC531,PTP_TIME,RS	1:18 
A,F,TOTAL,AC531,TIME_SP,AT	0:05 
A,F,TOTAL,AC531,TIME_SP,BG	0:00 
A,F,TOTAL,AC531,TIME_SP,DE	0:00 
A,F,TOTAL,AC531,TIME_SP,EE	0:06 
A,F,TOTAL,AC531,TIME_SP,FI	0:14 
A,F,TOTAL,AC531,TIME_SP,NO	0:04 
A,F,TOTAL,AC531,TIME_SP,RS	0:03 
A,F,TOTAL,AC72,PTP_RT,AT	4.80 
A,F,TOTAL,AC72,PTP_RT,BG	0.93 
A,F,TOTAL,AC72,PTP_RT,DE	9.13 
A,F,TOTAL,AC72,PTP_RT,EE	6.46 
A,F,TOTAL,AC72,PTP_RT,FI	15.15 
A,F,TOTAL,AC72,PTP_RT,NO	3.75 
A,F,TOTAL,AC72,PTP_RT,RS	6.18 
A,F,TOTAL,AC72,PTP_TIME,AT	1:19 
A,F,TOTAL,AC72,PTP_TIME,BG	0:51 u
A,F,TOTAL,AC72,PTP_TIME,DE	1:17 
A,F,TOTAL,AC72,PTP_TIME,EE	0:45 
A,F,TOTAL,AC72,PTP_TIME,FI	1:12 
A,F,TOTAL,AC72,PTP_TIME,NO	1:18 
A,F,TOTAL,AC72,PTP_TIME,RS	1:10 
A,F,TOTAL,AC72,TIME_SP,AT	0:04 
A,F,TOTAL,AC72,TIME_SP,BG	0:00 
A,F,TOTAL,AC72,TIME_SP,DE	0:07 
A,F,TOTAL,AC72,TIME_SP,EE	0:03 
A,F,TOTAL,AC72,TIME_SP,FI	0:11 
A,F,TOTAL,AC72,TIME_SP,NO	0:03 
A,F,TOTAL,AC72,TIME_SP,RS	0:04 
A,F,TOTAL,AC81,PTP_RT,AT	21.69 
A,F,TOTAL,AC81,PTP_RT,BG	0.71 
A,F,TOTAL,AC81,PTP_RT,DE	14.24 
A,F,TOTAL,AC81,PTP_RT,EE	14.87 
A,F,TOTAL,AC81,PTP_RT,FI	27.32 
A,F,TOTAL,AC81,PTP_RT,NO	18.73 
A,F,TOTAL,AC81,PTP_RT,RS	6.02 
A,F,TOTAL,AC81,PTP_TIME,AT	1:00 
A,F,TOTAL,AC81,PTP_TIME,BG	0:37 u
A,F,TOTAL,AC81,PTP_TIME,DE	0:58 
A,F,TOTAL,AC81,PTP_TIME,EE	0:43 
A,F,TOTAL,AC81,PTP_TIME,FI	1:04 
A,F,TOTAL,AC81,PTP_TIME,NO	1:34 
A,F,TOTAL,AC81,PTP_TIME,RS	0:59 
A,F,TOTAL,AC81,TIME_SP,AT	0:13 
A,F,TOTAL,AC81,TIME_SP,BG	0:00 
A,F,TOTAL,AC81,TIME_SP,DE	0:08 
A,F,TOTAL,AC81,TIME_SP,EE	0:06 
A,F,TOTAL,AC81,TIME_SP,FI	0:18 
A,F,TOTAL,AC81,TIME_SP,NO	0:18 
A,F,TOTAL,AC81,TIME_SP,RS	0:04 
A,F,TOTAL,AC821,PTP_RT,AT	23.41 
A,F,TOTAL,AC821,PTP_RT,BG	55.18 
A,F,TOTAL,AC821,PTP_RT,DE	26.27 
A,F,TOTAL,AC821,PTP_RT,EE	34.96 
A,F,TOTAL,AC821,PTP_RT,FI	35.43 
A,F,TOTAL,AC821,PTP_RT,NO	30.27 
A,F,TOTAL,AC821,PTP_RT,RS	30.78 
A,F,TOTAL,AC821,PTP_TIME,AT	1:17 
A,F,TOTAL,AC821,PTP_TIME,BG	1:37 
A,F,TOTAL,AC821,PTP_TIME,DE	1:24 
A,F,TOTAL,AC821,PTP_TIME,EE	1:18 
A,F,TOTAL,AC821,PTP_TIME,FI	1:19 
