freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,F,Y30-44,PTP_RT,DE	91.48 
A,F,Y30-44,PTP_RT,EE	90.55 
A,F,Y30-44,PTP_RT,FI	90.18 
A,F,Y30-44,PTP_RT,NO	87.22 
A,F,Y30-44,PTP_RT,RS	94.04 
A,F,Y30-44,PTP_TIME,AT	4:59 
A,F,Y30-44,PTP_TIME,BG	3:10 
A,F,Y30-44,PTP_TIME,DE	5:46 
A,F,Y30-44,PTP_TIME,EE	4:01 
A,F,Y30-44,PTP_TIME,FI	4:27 
A,F,Y30-44,PTP_TIME,NO	5:16 
A,F,Y30-44,PTP_TIME,RS	3:25 
A,F,Y30-44,TIME_SP,AT	4:23 
A,F,Y30-44,TIME_SP,BG	2:55 
A,F,Y30-44,TIME_SP,DE	5:17 
A,F,Y30-44,TIME_SP,EE	3:38 
A,F,Y30-44,TIME_SP,FI	4:01 
A,F,Y30-44,TIME_SP,NO	4:36 
A,F,Y30-44,TIME_SP,RS	3:12 
A,F,Y30-64,PTP_RT,AT	86.41 
A,F,Y30-64,PTP_RT,BG	93.12 
A,F,Y30-64,PTP_RT,DE	90.37 
A,F,Y30-64,PTP_RT,EE	86.54 
A,F,Y30-64,PTP_RT,FI	91.36 
A,F,Y30-64,PTP_RT,NO	86.57 
A,F,Y30-64,PTP_RT,RS	92.22 
A,F,Y30-64,PTP_TIME,AT	4:35 
A,F,Y30-64,PTP_TIME,BG	3:11 
A,F,Y30-64,PTP_TIME,DE	5:13 
A,F,Y30-64,PTP_TIME,EE	3:46 
A,F,Y30-64,PTP_TIME,FI	4:12 
A,F,Y30-64,PTP_TIME,NO	5:11 
A,F,Y30-64,PTP_TIME,RS	3:24 
A,F,Y30-64,TIME_SP,AT	3:58 
A,F,Y30-64,TIME_SP,BG	2:58 
A,F,Y30-64,TIME_SP,DE	4:42 
A,F,Y30-64,TIME_SP,EE	3:15 
A,F,Y30-64,TIME_SP,FI	3:50 
A,F,Y30-64,TIME_SP,NO	4:29 
A,F,Y30-64,TIME_SP,RS	3:08 
A,F,Y35-44,PTP_RT,AT	86.88 
A,F,Y35-44,PTP_RT,BG	93.45 
A,F,Y35-44,PTP_RT,DE	91.74 
A,F,Y35-44,PTP_RT,EE	88.64 
A,F,Y35-44,PTP_RT,FI	90.02 
A,F,Y35-44,PTP_RT,NO	89.24 
A,F,Y35-44,PTP_RT,RS	93.73 
A,F,Y35-44,PTP_TIME,AT	4:45 
A,F,Y35-44,PTP_TIME,BG	3:13 
A,F,Y35-44,PTP_TIME,DE	5:39 
A,F,Y35-44,PTP_TIME,EE	3:45 
A,F,Y35-44,PTP_TIME,FI	4:21 
A,F,Y35-44,PTP_TIME,NO	5:07 
A,F,Y35-44,PTP_TIME,RS	3:23 
A,F,Y35-44,TIME_SP,AT	4:08 
A,F,Y35-44,TIME_SP,BG	3:01 
A,F,Y35-44,TIME_SP,DE	5:11 
A,F,Y35-44,TIME_SP,EE	3:19 
A,F,Y35-44,TIME_SP,FI	3:55 
A,F,Y35-44,TIME_SP,NO	4:34 
A,F,Y35-44,TIME_SP,RS	3:10 
A,F,Y45-54,PTP_RT,AT	85.65 
A,F,Y45-54,PTP_RT,BG	93.66 
A,F,Y45-54,PTP_RT,DE	88.32 
A,F,Y45-54,PTP_RT,EE	84.97 
A,F,Y45-54,PTP_RT,FI	91.46 
A,F,Y45-54,PTP_RT,NO	85.59 
A,F,Y45-54,PTP_RT,RS	90.95 
A,F,Y45-54,PTP_TIME,AT	4:14 
A,F,Y45-54,PTP_TIME,BG	3:07 
A,F,Y45-54,PTP_TIME,DE	4:40 
A,F,Y45-54,PTP_TIME,EE	3:19 
A,F,Y45-54,PTP_TIME,FI	4:08 
A,F,Y45-54,PTP_TIME,NO	5:02 
A,F,Y45-54,PTP_TIME,RS	3:22 
A,F,Y45-54,TIME_SP,AT	3:38 
A,F,Y45-54,TIME_SP,BG	2:55 
A,F,Y45-54,TIME_SP,DE	4:07 
A,F,Y45-54,TIME_SP,EE	2:49 
A,F,Y45-54,TIME_SP,FI	3:47 
A,F,Y45-54,TIME_SP,NO	4:19 
A,F,Y45-54,TIME_SP,RS	3:04 
A,F,Y45-64,PTP_RT,AT	85.49 
A,F,Y45-64,PTP_RT,BG	93.73 
A,F,Y45-64,PTP_RT,DE	89.63 
A,F,Y45-64,PTP_RT,EE	83.52 
A,F,Y45-64,PTP_RT,FI	92.20 
A,F,Y45-64,PTP_RT,NO	86.04 
A,F,Y45-64,PTP_RT,RS	90.85 
A,F,Y45-64,PTP_TIME,AT	4:18 
A,F,Y45-64,PTP_TIME,BG	3:12 
A,F,Y45-64,PTP_TIME,DE	4:50 
A,F,Y45-64,PTP_TIME,EE	3:33 
A,F,Y45-64,PTP_TIME,FI	4:01 
A,F,Y45-64,PTP_TIME,NO	5:07 
A,F,Y45-64,PTP_TIME,RS	3:23 
A,F,Y45-64,TIME_SP,AT	3:41 
A,F,Y45-64,TIME_SP,BG	3:00 
A,F,Y45-64,TIME_SP,DE	4:20 
A,F,Y45-64,TIME_SP,EE	2:58 
A,F,Y45-64,TIME_SP,FI	3:43 
A,F,Y45-64,TIME_SP,NO	4:24 
A,F,Y45-64,TIME_SP,RS	3:05 
A,F,Y55-64,PTP_RT,AT	85.33 
A,F,Y55-64,PTP_RT,BG	93.81 
A,F,Y55-64,PTP_RT,DE	90.74 
A,F,Y55-64,PTP_RT,EE	82.13 
A,F,Y55-64,PTP_RT,FI	92.92 
A,F,Y55-64,PTP_RT,NO	86.64 
A,F,Y55-64,PTP_RT,RS	90.76 
A,F,Y55-64,PTP_TIME,AT	4:22 
A,F,Y55-64,PTP_TIME,BG	3:17 
A,F,Y55-64,PTP_TIME,DE	4:58 
A,F,Y55-64,PTP_TIME,EE	3:48 
A,F,Y55-64,PTP_TIME,FI	3:55 
A,F,Y55-64,PTP_TIME,NO	5:13 
A,F,Y55-64,PTP_TIME,RS	3:24 
A,F,Y55-64,TIME_SP,AT	3:44 
A,F,Y55-64,TIME_SP,BG	3:05 
A,F,Y55-64,TIME_SP,DE	4:30 
A,F,Y55-64,TIME_SP,EE	3:07 
A,F,Y55-64,TIME_SP,FI	3:38 
A,F,Y55-64,TIME_SP,NO	4:31 
A,F,Y55-64,TIME_SP,RS	3:05 
A,F,Y65-74,PTP_RT,AT	85.45 
A,F,Y65-74,PTP_RT,BG	89.16 
A,F,Y65-74,PTP_RT,DE	91.95 
A,F,Y65-74,PTP_RT,EE	77.28 
A,F,Y65-74,PTP_RT,FI	82.41 
A,F,Y65-74,PTP_RT,NO	88.75 
A,F,Y65-74,PTP_RT,RS	83.81 
A,F,Y65-74,PTP_TIME,AT	4:11 
A,F,Y65-74,PTP_TIME,BG	3:28 
A,F,Y65-74,PTP_TIME,DE	4:52 
A,F,Y65-74,PTP_TIME,EE	3:38 
A,F,Y65-74,PTP_TIME,FI	3:40 
A,F,Y65-74,PTP_TIME,NO	6:04 
A,F,Y65-74,PTP_TIME,RS	3:32 
A,F,Y65-74,TIME_SP,AT	3:35 
A,F,Y65-74,TIME_SP,BG	3:06 
