freq,sex,startime,acl18,unit,geo\TIME_PERIOD	2020 
A,F,H0000-0009,AC021,PTP_RT,AT	0.30 
A,F,H0000-0009,AC021,PTP_RT,BG	0.12 
A,F,H0000-0009,AC021,PTP_RT,DE	0.24 
A,F,H0000-0009,AC021,PTP_RT,EE	0.43 
A,F,H0000-0009,AC021,PTP_RT,FI	0.28 
A,F,H0000-0009,AC021,PTP_RT,NO	0.32 
A,F,H0000-0009,AC021,PTP_RT,RS	0.08 
A,F,H0000-0009,AC0_X_021,PTP_RT,AT	91.98 
A,F,H0000-0009,AC0_X_021,PTP_RT,BG	96.03 
A,F,H0000-0009,AC0_X_021,PTP_RT,DE	90.30 
A,F,H0000-0009,AC0_X_021,PTP_RT,EE	88.89 
A,F,H0000-0009,AC0_X_021,PTP_RT,FI	85.33 
A,F,H0000-0009,AC0_X_021,PTP_RT,NO	81.16 
A,F,H0000-0009,AC0_X_021,PTP_RT,RS	91.73 
A,F,H0000-0009,AC1_2,PTP_RT,AT	0.65 
A,F,H0000-0009,AC1_2,PTP_RT,BG	0.33 
A,F,H0000-0009,AC1_2,PTP_RT,DE	0.39 
A,F,H0000-0009,AC1_2,PTP_RT,EE	1.10 
A,F,H0000-0009,AC1_2,PTP_RT,FI	0.65 
A,F,H0000-0009,AC1_2,PTP_RT,NO	1.27 
A,F,H0000-0009,AC1_2,PTP_RT,RS	0.85 
A,F,H0000-0009,AC3_713_936-980,PTP_RT,AT	0.85 
A,F,H0000-0009,AC3_713_936-980,PTP_RT,BG	0.91 
A,F,H0000-0009,AC3_713_936-980,PTP_RT,DE	1.20 
A,F,H0000-0009,AC3_713_936-980,PTP_RT,EE	1.54 
A,F,H0000-0009,AC3_713_936-980,PTP_RT,FI	1.20 
A,F,H0000-0009,AC3_713_936-980,PTP_RT,NO	2.03 
A,F,H0000-0009,AC3_713_936-980,PTP_RT,RS	1.14 
A,F,H0000-0009,AC4-8_998_X_713_821,PTP_RT,AT	3.65 
A,F,H0000-0009,AC4-8_998_X_713_821,PTP_RT,BG	1.20 
A,F,H0000-0009,AC4-8_998_X_713_821,PTP_RT,DE	4.63 
A,F,H0000-0009,AC4-8_998_X_713_821,PTP_RT,EE	4.46 
A,F,H0000-0009,AC4-8_998_X_713_821,PTP_RT,FI	5.96 
A,F,H0000-0009,AC4-8_998_X_713_821,PTP_RT,NO	9.29 
A,F,H0000-0009,AC4-8_998_X_713_821,PTP_RT,RS	2.95 
A,F,H0000-0009,AC821,PTP_RT,AT	2.33 
