freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,M,Y15-29,TIME_SP,RS	0:05 u
A,M,Y30-44,PTP_RT,AT	25.11 
A,M,Y30-44,PTP_RT,BG	15.61 
A,M,Y30-44,PTP_RT,DE	40.61 
A,M,Y30-44,PTP_RT,EE	25.06 
A,M,Y30-44,PTP_RT,FI	22.43 
A,M,Y30-44,PTP_RT,NO	17.31 
A,M,Y30-44,PTP_RT,RS	21.81 
A,M,Y30-44,PTP_TIME,AT	1:22 
A,M,Y30-44,PTP_TIME,BG	0:55 u
A,M,Y30-44,PTP_TIME,DE	2:09 
A,M,Y30-44,PTP_TIME,EE	0:47 
A,M,Y30-44,PTP_TIME,FI	1:02 
A,M,Y30-44,PTP_TIME,NO	1:25 
A,M,Y30-44,PTP_TIME,RS	1:04 
A,M,Y30-44,TIME_SP,AT	0:21 
A,M,Y30-44,TIME_SP,BG	0:09 
A,M,Y30-44,TIME_SP,DE	0:52 
A,M,Y30-44,TIME_SP,EE	0:12 
A,M,Y30-44,TIME_SP,FI	0:14 
A,M,Y30-44,TIME_SP,NO	0:15 
A,M,Y30-44,TIME_SP,RS	0:14 
A,M,Y45-64,PTP_RT,AT	10.30 
A,M,Y45-64,PTP_RT,BG	10.28 
A,M,Y45-64,PTP_RT,DE	11.95 
A,M,Y45-64,PTP_RT,EE	9.32 
A,M,Y45-64,PTP_RT,FI	7.45 
A,M,Y45-64,PTP_RT,NO	6.90 
A,M,Y45-64,PTP_RT,RS	8.01 
A,M,Y45-64,PTP_TIME,AT	1:19 
A,M,Y45-64,PTP_TIME,BG	0:55 u
A,M,Y45-64,PTP_TIME,DE	1:57 
A,M,Y45-64,PTP_TIME,EE	0:49 u
A,M,Y45-64,PTP_TIME,FI	0:43 u
A,M,Y45-64,PTP_TIME,NO	1:01 u
A,M,Y45-64,PTP_TIME,RS	0:50 u
A,M,Y45-64,TIME_SP,AT	0:08 
A,M,Y45-64,TIME_SP,BG	0:06 
A,M,Y45-64,TIME_SP,DE	0:14 
A,M,Y45-64,TIME_SP,EE	0:05 
A,M,Y45-64,TIME_SP,FI	0:03 
A,M,Y45-64,TIME_SP,NO	0:04 
A,M,Y45-64,TIME_SP,RS	0:04 
A,T,TOTAL,PTP_RT,AT	18.42 
A,T,TOTAL,PTP_RT,BG	16.97 
A,T,TOTAL,PTP_RT,DE	26.22 
A,T,TOTAL,PTP_RT,EE	21.83 
A,T,TOTAL,PTP_RT,FI	16.16 
A,T,TOTAL,PTP_RT,NO	10.25 
A,T,TOTAL,PTP_RT,RS	22.74 
A,T,TOTAL,PTP_TIME,AT	1:48 
A,T,TOTAL,PTP_TIME,BG	1:05 
A,T,TOTAL,PTP_TIME,DE	2:25 
A,T,TOTAL,PTP_TIME,EE	1:21 
A,T,TOTAL,PTP_TIME,FI	1:06 
A,T,TOTAL,PTP_TIME,NO	1:29 
A,T,TOTAL,PTP_TIME,RS	1:05 
A,T,TOTAL,TIME_SP,AT	0:20 
A,T,TOTAL,TIME_SP,BG	0:11 
A,T,TOTAL,TIME_SP,DE	0:38 
A,T,TOTAL,TIME_SP,EE	0:18 
A,T,TOTAL,TIME_SP,FI	0:11 
A,T,TOTAL,TIME_SP,NO	0:09 
A,T,TOTAL,TIME_SP,RS	0:15 
A,T,Y15-29,PTP_RT,AT	4.63 
A,T,Y15-29,PTP_RT,BG	7.06 
A,T,Y15-29,PTP_RT,DE	8.77 
A,T,Y15-29,PTP_RT,EE	9.73 
A,T,Y15-29,PTP_RT,FI	6.78 
A,T,Y15-29,PTP_RT,NO	2.70 
A,T,Y15-29,PTP_RT,RS	30.78 
A,T,Y15-29,PTP_TIME,AT	2:16 
A,T,Y15-29,PTP_TIME,BG	1:32 u
A,T,Y15-29,PTP_TIME,DE	2:53 
A,T,Y15-29,PTP_TIME,EE	2:02 u
A,T,Y15-29,PTP_TIME,FI	1:08 u
A,T,Y15-29,PTP_TIME,NO	: u
A,T,Y15-29,PTP_TIME,RS	1:08 u
A,T,Y15-29,TIME_SP,AT	0:06 
A,T,Y15-29,TIME_SP,BG	0:06 
A,T,Y15-29,TIME_SP,DE	0:15 
A,T,Y15-29,TIME_SP,EE	0:12 
A,T,Y15-29,TIME_SP,FI	0:05 
A,T,Y15-29,TIME_SP,NO	0:03 
A,T,Y15-29,TIME_SP,RS	0:21 
A,T,Y30-44,PTP_RT,AT	36.87 
A,T,Y30-44,PTP_RT,BG	26.72 
A,T,Y30-44,PTP_RT,DE	51.00 
A,T,Y30-44,PTP_RT,EE	33.88 
A,T,Y30-44,PTP_RT,FI	29.91 
A,T,Y30-44,PTP_RT,NO	19.43 
A,T,Y30-44,PTP_RT,RS	30.56 
A,T,Y30-44,PTP_TIME,AT	1:56 
A,T,Y30-44,PTP_TIME,BG	1:05 
A,T,Y30-44,PTP_TIME,DE	2:31 
A,T,Y30-44,PTP_TIME,EE	1:21 
A,T,Y30-44,PTP_TIME,FI	1:09 
A,T,Y30-44,PTP_TIME,NO	1:33 
A,T,Y30-44,PTP_TIME,RS	1:08 
A,T,Y30-44,TIME_SP,AT	0:43 
A,T,Y30-44,TIME_SP,BG	0:17 
A,T,Y30-44,TIME_SP,DE	1:17 
A,T,Y30-44,TIME_SP,EE	0:28 
A,T,Y30-44,TIME_SP,FI	0:21 
A,T,Y30-44,TIME_SP,NO	0:18 
A,T,Y30-44,TIME_SP,RS	0:21 
A,T,Y45-64,PTP_RT,AT	11.86 
A,T,Y45-64,PTP_RT,BG	15.03 
A,T,Y45-64,PTP_RT,DE	14.10 
A,T,Y45-64,PTP_RT,EE	12.25 
A,T,Y45-64,PTP_RT,FI	8.59 
A,T,Y45-64,PTP_RT,NO	6.14 
A,T,Y45-64,PTP_RT,RS	10.38 
A,T,Y45-64,PTP_TIME,AT	1:13 
A,T,Y45-64,PTP_TIME,BG	0:52 
A,T,Y45-64,PTP_TIME,DE	1:52 
A,T,Y45-64,PTP_TIME,EE	0:50 
A,T,Y45-64,PTP_TIME,FI	0:49 
A,T,Y45-64,PTP_TIME,NO	1:03 
A,T,Y45-64,PTP_TIME,RS	0:52 
A,T,Y45-64,TIME_SP,AT	0:09 
A,T,Y45-64,TIME_SP,BG	0:08 
A,T,Y45-64,TIME_SP,DE	0:16 
A,T,Y45-64,TIME_SP,EE	0:06 
A,T,Y45-64,TIME_SP,FI	0:04 
A,T,Y45-64,TIME_SP,NO	0:04 
A,T,Y45-64,TIME_SP,RS	0:05 
