freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,M,TOTAL,TIME_SP,NO	0:27 
A,M,TOTAL,TIME_SP,RS	0:15 
A,M,Y15-29,PTP_RT,AT	5.28 
A,M,Y15-29,PTP_RT,BG	7.96 
A,M,Y15-29,PTP_RT,DE	5.67 
A,M,Y15-29,PTP_RT,EE	6.91 
A,M,Y15-29,PTP_RT,FI	7.08 
A,M,Y15-29,PTP_RT,NO	5.73 
A,M,Y15-29,PTP_RT,RS	8.01 
A,M,Y15-29,PTP_TIME,AT	2:21 
A,M,Y15-29,PTP_TIME,BG	1:35 u
A,M,Y15-29,PTP_TIME,DE	2:04 
A,M,Y15-29,PTP_TIME,EE	1:13 u
A,M,Y15-29,PTP_TIME,FI	1:51 u
A,M,Y15-29,PTP_TIME,NO	1:23 u
A,M,Y15-29,PTP_TIME,RS	1:26 
A,M,Y15-29,TIME_SP,AT	0:07 
A,M,Y15-29,TIME_SP,BG	0:08 
A,M,Y15-29,TIME_SP,DE	0:07 
A,M,Y15-29,TIME_SP,EE	0:05 
A,M,Y15-29,TIME_SP,FI	0:08 
A,M,Y15-29,TIME_SP,NO	0:05 
A,M,Y15-29,TIME_SP,RS	0:07 
A,M,Y30-44,PTP_RT,AT	33.46 
A,M,Y30-44,PTP_RT,BG	26.97 
A,M,Y30-44,PTP_RT,DE	35.77 
A,M,Y30-44,PTP_RT,EE	32.65 
A,M,Y30-44,PTP_RT,FI	39.96 
A,M,Y30-44,PTP_RT,NO	46.01 
A,M,Y30-44,PTP_RT,RS	30.42 
A,M,Y30-44,PTP_TIME,AT	2:04 
A,M,Y30-44,PTP_TIME,BG	1:47 
A,M,Y30-44,PTP_TIME,DE	2:19 
A,M,Y30-44,PTP_TIME,EE	1:48 
A,M,Y30-44,PTP_TIME,FI	2:19 
A,M,Y30-44,PTP_TIME,NO	2:27 
A,M,Y30-44,PTP_TIME,RS	1:56 
A,M,Y30-44,TIME_SP,AT	0:42 
A,M,Y30-44,TIME_SP,BG	0:29 
A,M,Y30-44,TIME_SP,DE	0:50 
A,M,Y30-44,TIME_SP,EE	0:35 
A,M,Y30-44,TIME_SP,FI	0:56 
A,M,Y30-44,TIME_SP,NO	1:08 
A,M,Y30-44,TIME_SP,RS	0:35 
A,M,Y45-64,PTP_RT,AT	15.02 
A,M,Y45-64,PTP_RT,BG	8.22 
A,M,Y45-64,PTP_RT,DE	13.52 
A,M,Y45-64,PTP_RT,EE	12.99 
A,M,Y45-64,PTP_RT,FI	15.49 
A,M,Y45-64,PTP_RT,NO	17.75 
A,M,Y45-64,PTP_RT,RS	9.67 
A,M,Y45-64,PTP_TIME,AT	1:46 
A,M,Y45-64,PTP_TIME,BG	1:32 
A,M,Y45-64,PTP_TIME,DE	1:40 
A,M,Y45-64,PTP_TIME,EE	1:14 
A,M,Y45-64,PTP_TIME,FI	1:36 
A,M,Y45-64,PTP_TIME,NO	2:06 
A,M,Y45-64,PTP_TIME,RS	1:32 
A,M,Y45-64,TIME_SP,AT	0:16 
A,M,Y45-64,TIME_SP,BG	0:08 
A,M,Y45-64,TIME_SP,DE	0:13 
A,M,Y45-64,TIME_SP,EE	0:10 
A,M,Y45-64,TIME_SP,FI	0:15 
A,M,Y45-64,TIME_SP,NO	0:22 
A,M,Y45-64,TIME_SP,RS	0:09 
A,M,Y_GE65,PTP_RT,AT	6.40 
A,M,Y_GE65,PTP_RT,BG	5.77 
A,M,Y_GE65,PTP_RT,DE	7.88 
A,M,Y_GE65,PTP_RT,EE	4.23 
A,M,Y_GE65,PTP_RT,FI	7.84 
A,M,Y_GE65,PTP_RT,NO	8.53 
A,M,Y_GE65,PTP_RT,RS	9.57 
