freq,sex,wstatus,acl18,unit,geo\TIME_PERIOD	2020 
A,F,EMP,AC2,PTP_TIME,EE	2:22 
A,F,EMP,AC2,PTP_TIME,FI	3:28 
A,F,EMP,AC2,PTP_TIME,NO	4:33 
A,F,EMP,AC2,PTP_TIME,RS	: u
A,F,EMP,AC2,TIME_SP,AT	0:13 
A,F,EMP,AC2,TIME_SP,BG	0:02 
A,F,EMP,AC2,TIME_SP,DE	0:12 
A,F,EMP,AC2,TIME_SP,EE	0:07 
A,F,EMP,AC2,TIME_SP,FI	0:17 
A,F,EMP,AC2,TIME_SP,NO	0:23 
A,F,EMP,AC2,TIME_SP,RS	0:03 
A,F,EMP,AC212,PTP_RT,AT	2.88 
A,F,EMP,AC212,PTP_RT,BG	0.52 
A,F,EMP,AC212,PTP_RT,DE	2.65 
A,F,EMP,AC212,PTP_RT,EE	1.69 
A,F,EMP,AC212,PTP_RT,FI	5.20 
A,F,EMP,AC212,PTP_RT,NO	3.72 
A,F,EMP,AC212,PTP_RT,RS	1.45 
A,F,EMP,AC212,PTP_TIME,AT	2:57 
A,F,EMP,AC212,PTP_TIME,BG	: u
A,F,EMP,AC212,PTP_TIME,DE	2:59 
A,F,EMP,AC212,PTP_TIME,EE	2:40 u
A,F,EMP,AC212,PTP_TIME,FI	3:21 
A,F,EMP,AC212,PTP_TIME,NO	2:54 
A,F,EMP,AC212,PTP_TIME,RS	: u
A,F,EMP,AC212,TIME_SP,AT	0:05 
A,F,EMP,AC212,TIME_SP,BG	0:02 
A,F,EMP,AC212,TIME_SP,DE	0:05 
A,F,EMP,AC212,TIME_SP,EE	0:03 
A,F,EMP,AC212,TIME_SP,FI	0:10 
A,F,EMP,AC212,TIME_SP,NO	0:06 
A,F,EMP,AC212,TIME_SP,RS	0:02 
A,F,EMP,AC21_X_212,PTP_RT,AT	2.15 
A,F,EMP,AC21_X_212,PTP_RT,BG	0.20 
A,F,EMP,AC21_X_212,PTP_RT,DE	1.74 
A,F,EMP,AC21_X_212,PTP_RT,EE	1.49 
A,F,EMP,AC21_X_212,PTP_RT,FI	2.00 
A,F,EMP,AC21_X_212,PTP_RT,NO	6.22 
A,F,EMP,AC21_X_212,PTP_RT,RS	0.09 
A,F,EMP,AC21_X_212,PTP_TIME,AT	5:13 
A,F,EMP,AC21_X_212,PTP_TIME,BG	: u
A,F,EMP,AC21_X_212,PTP_TIME,DE	4:34 
A,F,EMP,AC21_X_212,PTP_TIME,EE	: u
A,F,EMP,AC21_X_212,PTP_TIME,FI	3:16 u
A,F,EMP,AC21_X_212,PTP_TIME,NO	4:20 
A,F,EMP,AC21_X_212,PTP_TIME,RS	: u
A,F,EMP,AC21_X_212,TIME_SP,AT	0:07 
A,F,EMP,AC21_X_212,TIME_SP,BG	0:00 
A,F,EMP,AC21_X_212,TIME_SP,DE	0:05 
A,F,EMP,AC21_X_212,TIME_SP,EE	0:03 
A,F,EMP,AC21_X_212,TIME_SP,FI	0:04 
A,F,EMP,AC21_X_212,TIME_SP,NO	0:16 
A,F,EMP,AC21_X_212,TIME_SP,RS	0:00 
A,F,EMP,AC221,PTP_RT,AT	1.52 
A,F,EMP,AC221,PTP_RT,BG	0.13 
A,F,EMP,AC221,PTP_RT,DE	2.82 
A,F,EMP,AC221,PTP_RT,EE	2.19 
A,F,EMP,AC221,PTP_RT,FI	2.13 
A,F,EMP,AC221,PTP_RT,NO	0.59 
A,F,EMP,AC221,PTP_RT,RS	0.29 
A,F,EMP,AC221,PTP_TIME,AT	1:45 
A,F,EMP,AC221,PTP_TIME,BG	: u
A,F,EMP,AC221,PTP_TIME,DE	1:42 
A,F,EMP,AC221,PTP_TIME,EE	1:26 u
A,F,EMP,AC221,PTP_TIME,FI	1:41 u
A,F,EMP,AC221,PTP_TIME,NO	: u
A,F,EMP,AC221,PTP_TIME,RS	: u
A,F,EMP,AC221,TIME_SP,AT	0:02 
A,F,EMP,AC221,TIME_SP,BG	0:00 
A,F,EMP,AC221,TIME_SP,DE	0:03 
A,F,EMP,AC221,TIME_SP,EE	0:02 
A,F,EMP,AC221,TIME_SP,FI	0:02 
A,F,EMP,AC221,TIME_SP,NO	0:01 
A,F,EMP,AC221,TIME_SP,RS	0:00 
A,F,EMP,AC300_371,PTP_RT,AT	11.95 
A,F,EMP,AC300_371,PTP_RT,BG	0.95 
A,F,EMP,AC300_371,PTP_RT,DE	15.76 
A,F,EMP,AC300_371,PTP_RT,EE	11.14 
A,F,EMP,AC300_371,PTP_RT,FI	17.84 
A,F,EMP,AC300_371,PTP_RT,NO	27.40 
A,F,EMP,AC300_371,PTP_RT,RS	0.78 
A,F,EMP,AC300_371,PTP_TIME,AT	1:11 
A,F,EMP,AC300_371,PTP_TIME,BG	: u
A,F,EMP,AC300_371,PTP_TIME,DE	0:51 
A,F,EMP,AC300_371,PTP_TIME,EE	1:05 
A,F,EMP,AC300_371,PTP_TIME,FI	0:55 
A,F,EMP,AC300_371,PTP_TIME,NO	1:01 
A,F,EMP,AC300_371,PTP_TIME,RS	: u
A,F,EMP,AC300_371,TIME_SP,AT	0:08 
A,F,EMP,AC300_371,TIME_SP,BG	0:00 
A,F,EMP,AC300_371,TIME_SP,DE	0:08 
